day,p05,p50,p95
130,0.8774645233290683,1.0973258259416894,1.3776147379637103
131,0.8760216372434574,1.0996348620889786,1.3794680037760427
132,0.8751285519960309,1.0996106695265535,1.3799639373940435
133,0.8746220884562104,1.1001150513626654,1.3818287190216931
134,0.8755154898833539,1.1013188906043898,1.3829306149355696
135,0.8755877081041473,1.1013934665559177,1.3849614314635028
136,0.8771762875102812,1.1026742729563155,1.3873780664277149
137,0.8739182290499851,1.1036551666160166,1.3892259595710519
138,0.8739281054619024,1.1036002704055208,1.3950606045227685
139,0.8751369451610169,1.1049238417551002,1.3951048991699462
140,0.8748300412439913,1.1059698545860295,1.3985107887614339
141,0.8739998862439036,1.1066718506398534,1.3976263895895111
142,0.8749115229783982,1.1075005253760382,1.39887609564131
143,0.8737769388703864,1.1083251241720748,1.4021878840203252
144,0.8748547411568823,1.1093460928778502,1.4047955831334515
145,0.8749262603710003,1.1094436389202174,1.406807440957881
146,0.8749914482947606,1.1100078422360373,1.4124038088736186
147,0.8760029857910644,1.111132051427609,1.4126724411427036
148,0.874892232320266,1.1114348585110085,1.4153949646463029
149,0.8755737563925728,1.1117691564134162,1.4190192734952796
150,0.8748659606983827,1.1130078420154357,1.4199544295058761
151,0.8742260979547769,1.1150521034921907,1.4233965962009347
152,0.8743325156837654,1.1155928628853995,1.4235164237236042
153,0.8728572203913885,1.1158690877113708,1.4241768550092302
154,0.8736894345817672,1.1168531919307052,1.4290115993199612
155,0.8748636063475564,1.1163851661749746,1.427671663878246
156,0.871508858392486,1.1186931700112872,1.4319337409756634
157,0.8721225908251412,1.1193296741097556,1.4313211161411283
158,0.8717404040970934,1.1190568875533964,1.4341801591452747
159,0.8726601285757406,1.1204109292490048,1.4374469361686422
160,0.8714733747593881,1.1202003099022892,1.4383034070814167
161,0.8704407186177421,1.1216601012450476,1.440402647871341
162,0.8715969967765619,1.123274246537258,1.4421080796245118
163,0.8695421932356953,1.1240880072755899,1.4448444223094365
164,0.8695536285434818,1.1241658678382596,1.4460724510240894
165,0.8680419571293807,1.1252518582283586,1.4495729890658506
166,0.8705889097081096,1.1254406292146153,1.4500149966898424
167,0.8719650674994116,1.125509455209936,1.4520570289748551
168,0.871022203873197,1.1264843853032525,1.4557203217854635
169,0.8713984071741216,1.1263240184093362,1.459226645532819
170,0.8688771158848726,1.128041777886216,1.4580361232084982
171,0.869254980345272,1.1286343353685093,1.4617588802855435
172,0.8696009750344182,1.1292263404325553,1.4611079321334906
173,0.869740874450082,1.1299660816585169,1.4654040944636642
174,0.8689177464660478,1.1319754303990148,1.467381376735703
175,0.8693579487657148,1.1320517354466577,1.4703802713316558
176,0.8691271284371129,1.131433687623082,1.4732955643937984
177,0.8697813678834899,1.131950929118025,1.4727788229955634
178,0.8690057539961556,1.1328683906570545,1.4753250324602536
179,0.868867011588441,1.134727673219955,1.4792868269856831
180,0.869788358105951,1.1350357229048351,1.4810295912686502
181,0.8700123605016312,1.1366618147522054,1.4831054028971828
182,0.8707219474212123,1.137566374857037,1.4853457055127524
183,0.8704355216737135,1.1382705965862907,1.4885205112900677
184,0.8700804076742046,1.1386729560037328,1.4892306907584354
185,0.8706102942652794,1.1395653720169716,1.4903946445348493
186,0.8703706797132412,1.1396464358333178,1.494289967636245
187,0.8693426269684851,1.1398334835654804,1.4930912664281522
188,0.8699749566162193,1.1420916113995394,1.495438006809201
189,0.8683170979879128,1.1425160748287215,1.4973227920467884
190,0.8666292860749146,1.1432976653588311,1.4952318803670333
191,0.8659968659384876,1.1433775708636353,1.4960321124528293
192,0.8672838661312383,1.143082387658657,1.4991631007763822
193,0.8694651521079391,1.1437167352827347,1.507285651674112
194,0.8691675059212195,1.144302696854528,1.5061290467774275
195,0.8680270962861771,1.1446219460027725,1.511715460227504
196,0.8683916794446767,1.145855977730392,1.512360283409947
197,0.8681385600464353,1.1464686410976945,1.5133484532914954
198,0.8690579111348071,1.147199016577769,1.5163676173797591
199,0.8681735806958902,1.1497050109098508,1.5184851297920268
200,0.8679919699844298,1.1489609083879633,1.5220442774255645
201,0.8692423242131704,1.1489522585658758,1.5264783888139892
202,0.8689246524987532,1.1503310947456975,1.530256982057286
203,0.8678859016258768,1.1509581087163063,1.5277282269140606
204,0.8686557032824006,1.1529986472945493,1.5300914163992245
205,0.8677511221716929,1.1537754626457357,1.5332506702777466
206,0.8669183830080435,1.1535587915736452,1.5339763575298728
207,0.8672362132510194,1.1556725202272073,1.5334213198335667
208,0.8678205545213762,1.156801197921714,1.5356238627965066
209,0.8689799052983905,1.1563949360705024,1.5401211247218538
210,0.8682282999723782,1.1576290262207738,1.5425088317640454
211,0.8684502183282707,1.158611018587651,1.5436997164036173
212,0.8695427855747033,1.1594353355768474,1.5443477662496012
213,0.8690765692909745,1.1606052397657565,1.5442767958941046
214,0.8692447547009121,1.1598679163032344,1.5474330011435553
215,0.8664279954259451,1.1612457848636786,1.5489826008921228
216,0.8669156349467136,1.1622150808803187,1.5497814766186806
217,0.8664231764954001,1.1639132268849486,1.551494801864254
218,0.8658619175898471,1.16474925910503,1.55505005967521
219,0.8663517807838351,1.1663661066696758,1.560732510300789
220,0.8657309204809371,1.1663955321323298,1.5599918239728885
221,0.8660783896280204,1.1680874653951838,1.5605247510089353
222,0.8657026298373854,1.1691930843543739,1.5631691641698524
223,0.8658987813997107,1.1682084803688277,1.564347530917488
224,0.8665153722963495,1.1691373292424014,1.5658322922095715
225,0.8669836156695423,1.1700275918572718,1.56990265273221
226,0.8667668074372182,1.170126008050024,1.5725604687126031
227,0.8658624372719,1.1723433910684022,1.5737626341337247
228,0.8667296237549013,1.1724644969384808,1.575418956558212
229,0.8665319945296224,1.1726208408258219,1.5795810939365929
230,0.8646254937756584,1.173236572385421,1.5785053404544638
231,0.8660432366816302,1.1744539583068707,1.5826149209640978
232,0.8663703276689988,1.1748104739228433,1.584390209270738
233,0.8648756222367854,1.175554930701191,1.5814695566941699
234,0.8667566309870466,1.177939046903214,1.580203465598555
235,0.8654874870685855,1.1783803276247133,1.586419733866031
236,0.8647182049008758,1.1779566096788785,1.5867077529328586
237,0.8655455965374023,1.1777750439049475,1.5911042518677838
238,0.8648898160417035,1.1785628669710282,1.5950486103809018
239,0.8655028254518786,1.179680425181501,1.5943570634533022
240,0.8663369702995577,1.180337485298029,1.5961536295673557
241,0.8650771373063887,1.181888845189197,1.6014566721624144
242,0.8653098236239569,1.1820179247715488,1.6025362604487632
243,0.8661761183005487,1.182653408013906,1.603159031827217
244,0.8673221937836584,1.1824574139092192,1.6063772383805364
245,0.8669716591751061,1.184166061655735,1.606403911822603
246,0.8674823662039082,1.1848234246922122,1.6084826910753598
247,0.8681519385147183,1.184977151235143,1.6102607782680989
248,0.8670550361432855,1.1850636659384794,1.6146455797379293
249,0.8661823714368885,1.1856320582090398,1.615671483265984
250,0.8664916796023401,1.1855838407236856,1.6195467766666682
251,0.8674346690339981,1.1862055382335406,1.6182375436592737
